id;external_code;name;name_so;database_version_id;id_regional_energy_system;id_regional_district
8120;88d16b18-967e-5f8f-ba74-314e8aa22694;Мини-ТЭЦ №2 АПТС;;22;868;965
8121;4fbd8654-09d6-5b7b-8de8-ec309dc9d816;Мини-ТЭЦ №3 АПТС;;22;868;965
8122;f59415a1-15ca-59ea-b5a0-1b161317d29b;Мини-ТЭЦ №4 АПТС;;22;868;965
8573;88e308f4-6807-58d6-9d34-726986080eef;Мини-ТЭЦ АО «СУМЗ»;;22;875;974
8125;5d5a4274-b132-5ead-976b-c8b4c5ccec57;Мини-ТЭЦ Кастамону;;22;868;965
8581;bde8800d-ba5a-56a5-9be1-27edc39e076f;Мини-ТЭЦ ПСЦМ АО «Уралэлектромедь»;;22;875;974
7745;404157be-a7f6-5597-8f34-3dfb3fc20c1d;Мини-ТЭЦ СевЛесПил;;22;862;959
8684;08aa0a9d-0735-5f74-8dcb-b0c6dab8a8ab;Мини-ТЭЦ Удмуртские тепловые сети;;22;884;983
8038;86588219-eb64-52fa-8766-f4c30659ea16;Мини-ТЭЦ ЭКО;;22;892;992
8127;5293ffa1-f17f-50d7-933b-5d64685304a8;Мини ТЭС ГПУ-1;;22;868;965
8128;1f6459d1-5f15-5a26-af38-4f41430018c6;Мини ТЭС ГПУ-2;;22;868;965
8129;411f6d83-3ab3-5f3a-937c-71c09a9da917;Мини ТЭС ГПУ-3;;22;868;965
8493;dd05a320-11cc-5e65-84fb-dae5e008dcba;Мини ТЭС НТПН;;22;836;927
7923;6de6c9a6-2cf1-5026-a280-15769a5fad0b;Мини ТЭЦ ТК ЛипецкАгро (МиниТЭЦ-1);;22;842;934
8315;e4f734c9-c971-5578-a692-b49e226b37a1;МиниТЭС – винного завода «Фанагория»;;22;838;929
7867;5abc7964-c4cb-57e6-9e6f-501cd6b77fcf;МТЭЦ Белый Ручей;;22;821;914
7944;d688b414-f9ec-5113-84ec-6ce8b367f7d9;Мусоросжигательный з-д №3;;22;823;937
8580;8de25e76-3a56-5e24-b1ca-e55bbe4ee9d1;Невьянская ТЭС;;22;875;974
8053;cf5b831d-f682-5e44-93eb-fd7b7c708149;Нижегородская ГРЭС;;22;846;941
