numb1120	v	year	y	snk	sntp	bk	btp	snbas	Ksn	bbas	Kh
1094	0	2024	1307.9356480323	3.32908062965201	0.945403055087703	222.062080582646	172.850584461645	0	0	0	0
1095	0	2024	358.575658446189	5.01717457082988	0.860456330491263	461.70231595211	337.454298444518	0	0	0	0
1205	0	2024	422.814801511336	7.05152614029032	0.816992783390507	390.262151178999	287.623477120466	0	0	0	0
1231	0	2024	936.349302396127	7.08223971861482	0.911160976150871	269.451683966602	269.451683966602	0	0	0	0
1241	0	2024	0		0		0	0	0	0	0
1245	0	2024	636.054514253027	1.5018940502782	0.949517174038553	380.913244001469	380.913244001469	0	0	0	0
1266	0	2024	0		0		0	0	0	0	0
1295	0	2024	1664.43879869941	3.91056453382842	0.910085822273158	251.062206119656	182.05807817797	0	0	0	0
1296	0	2024	294.458368566865	4.02273190142721	0.755052006258671	416.01727909315	298.610758870993	0	0	0	0
1297	0	2024	0	4.63539430026171	0	188.991268456593	0	0	0	0	0
1298	0	2024	2750.77211745368	4.09295401944589	0.939364160138643	218.961028059986	110.212470617377	0	0	0	0
1312	0	2024	809.489402004163	2.0101326739912	0.934361365028877	276.641424936218	227.211471937829	0	0	0	0
1437	0	2024	92.9380981900175	4.00465546952871	0.46647110112819	420.108232833584	347.988682840075	0	0	0	0
1439	0	2024	236.649659684413	3.25234968038773	0.947748676163933	54.8053728742816	7.48071430835538	0	0	0	0
1440	0	2024	160.80863192505	2.82555972256502	0.898432582945636	205.342767090988	205.342767090988	0	0	0	0
1441	0	2024	159.217079476274	0.599998323880719	0.85	162.937403969765	162.937403969765	0	0	0	0
1442	0	2024	119.718654361275	0.55999720943212	0.86	195.348848798039	195.348848798039	0	0	0	0
1571	0	2024	1300	2.21656796532433	0	141.95751287853	0	0	0	0	0
